epoch	train error	test error	
 3.0700e+02	 2.1199e-03	 2.1029e-03	
 3.0800e+02	 2.3854e-03	 1.6037e-03	
 3.0900e+02	 2.0162e-03	 1.6390e-03	
 3.1000e+02	 1.7144e-03	 1.4743e-03	
 3.1100e+02	 1.7543e-03	 1.3622e-03	
 3.1200e+02	 1.6026e-03	 1.3206e-03	
 3.1300e+02	 1.4888e-03	 1.2256e-03	
 3.1400e+02	 1.4260e-03	 1.1149e-03	
 3.1500e+02	 1.3635e-03	 1.0450e-03	
 3.1600e+02	 1.2540e-03	 1.0008e-03	
 3.1700e+02	 1.1889e-03	 9.4170e-04	
 3.1800e+02	 1.1508e-03	 9.0749e-04	
 3.1900e+02	 1.1136e-03	 8.8844e-04	
 3.2000e+02	 1.0849e-03	 8.7045e-04	
 3.2100e+02	 1.0678e-03	 8.5767e-04	
 3.2200e+02	 1.0602e-03	 8.4804e-04	
 3.2300e+02	 1.0451e-03	 8.3775e-04	
 3.2400e+02	 1.0349e-03	 8.2867e-04	
 3.2500e+02	 1.0234e-03	 8.1781e-04	
 3.2600e+02	 1.0149e-03	 8.1134e-04	
 3.2700e+02	 1.0016e-03	 8.0214e-04	
 3.2800e+02	 9.9763e-04	 8.0031e-04	
 3.2900e+02	 9.9007e-04	 7.9700e-04	
 3.3000e+02	 9.9263e-04	 8.0804e-04	
 3.3100e+02	 1.0012e-03	 8.1133e-04	
 3.3200e+02	 1.0102e-03	 8.4470e-04	
 3.3300e+02	 1.0532e-03	 8.3259e-04	
 3.3400e+02	 1.0384e-03	 8.6402e-04	
 3.3500e+02	 1.0961e-03	 8.0018e-04	
 3.3600e+02	 1.0104e-03	 7.7331e-04	
 3.3700e+02	 1.0017e-03	 7.1854e-04	
 3.3800e+02	 9.0751e-04	 6.6880e-04	
 3.3900e+02	 8.6419e-04	 6.4804e-04	
 3.4000e+02	 8.1424e-04	 6.1328e-04	
 3.4100e+02	 7.8328e-04	 5.9739e-04	
 3.4200e+02	 7.5429e-04	 5.7145e-04	
 3.4300e+02	 7.2860e-04	 5.5480e-04	
 3.4400e+02	 7.0551e-04	 5.3160e-04	
 3.4500e+02	 6.8027e-04	 5.1554e-04	
 3.4600e+02	 6.5885e-04	 4.9348e-04	
 3.4700e+02	 6.3418e-04	 4.8093e-04	
 3.4800e+02	 6.1492e-04	 4.6208e-04	
 3.4900e+02	 5.9434e-04	 4.6135e-04	
 3.5000e+02	 5.8227e-04	 4.5528e-04	
 3.5100e+02	 5.7917e-04	 4.8431e-04	
 3.5200e+02	 5.8341e-04	 5.1281e-04	
 3.5300e+02	 6.3361e-04	 5.7405e-04	
 3.5400e+02	 6.4243e-04	 6.2496e-04	
 3.5500e+02	 7.6777e-04	 5.9437e-04	
 3.5600e+02	 6.6538e-04	 5.1584e-04	
 3.5700e+02	 6.8903e-04	 3.8645e-04	
 3.5800e+02	 4.7238e-04	 2.5122e-04	
 3.5900e+02	 3.7618e-04	 2.1565e-04	
 3.6000e+02	 2.7809e-04	 1.8199e-04	
 3.6100e+02	 2.4386e-04	 1.5357e-04	
 3.6200e+02	 2.1034e-04	 1.4401e-04	
 3.6300e+02	 1.8084e-04	 1.1134e-04	
 3.6400e+02	 1.6076e-04	 1.0377e-04	
 3.6500e+02	 1.2620e-04	 7.7292e-05	
 3.6600e+02	 1.2044e-04	 7.4338e-05	
 3.6700e+02	 8.4730e-05	 5.3092e-05	
 3.6800e+02	 1.0786e-04	 5.9145e-05	
 3.6900e+02	 7.5349e-05	 4.1446e-05	
 3.7000e+02	 1.9348e-04	 7.0668e-05	
 3.7100e+02	 2.6858e-04	 7.2002e-05	
 3.7200e+02	 9.3349e-04	 2.0245e-04	
 3.7300e+02	 2.2102e-03	 2.5352e-04	
 3.7400e+02	 6.2539e-03	 2.4212e-04	
 3.7500e+02	 1.1591e-02	 1.0914e-03	
 3.7600e+02	 8.9683e-03	 2.2191e-03	
 3.7700e+02	 3.5242e-03	 2.7986e-03	
 3.7800e+02	 6.3741e-04	 1.1645e-03	
 3.7900e+02	 2.5666e-03	 2.2212e-03	
 3.8000e+02	 2.0017e-03	 3.7704e-03	
 3.8100e+02	 4.0299e-03	 1.8305e-03	
 3.8200e+02	 1.7685e-03	 1.2517e-03	
 3.8300e+02	 1.5106e-03	 1.3093e-03	
 3.8400e+02	 1.3124e-03	 9.7045e-04	
 3.8500e+02	 1.2483e-03	 9.6437e-04	
 3.8600e+02	 1.1415e-03	 8.0726e-04	
 3.8700e+02	 8.8671e-04	 7.8283e-04	
 3.8800e+02	 8.8302e-04	 6.1970e-04	
 3.8900e+02	 7.8515e-04	 5.4236e-04	
 3.9000e+02	 6.4947e-04	 4.9660e-04	
 3.9100e+02	 5.9243e-04	 4.1875e-04	
 3.9200e+02	 5.3325e-04	 3.7855e-04	
 3.9300e+02	 4.6781e-04	 3.4464e-04	
 3.9400e+02	 4.3089e-04	 3.1019e-04	
 3.9500e+02	 3.9421e-04	 2.8722e-04	
 3.9600e+02	 3.6056e-04	 2.5918e-04	
 3.9700e+02	 3.3037e-04	 2.3910e-04	
 3.9800e+02	 3.0112e-04	 2.1476e-04	
 3.9900e+02	 2.7359e-04	 2.0137e-04	
 4.0000e+02	 2.4887e-04	 1.8231e-04	
